# mode: 0
# n_modes: 20
# index_normalization:   4.74323422e+00
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: nnr1.skt.sfc.gauss.19480101_20191231.anom.month.19790101_20011230.nc
# anomalies_input_file: nnr1.skt.sfc.gauss.19480101_20191231.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,iod_index
1960-09-01, -1.51011224e+00
1960-10-01, -1.93084946e+00
1960-11-01, -2.54978328e+00
1960-12-01, -1.77032405e+00
1961-01-01, -6.21318606e-01
1961-02-01, -1.66885605e-01
1961-03-01, -1.63941561e-01
1961-04-01, -6.12176315e-01
1961-05-01, -8.51790473e-01
1961-06-01, -1.55059064e-01
1961-07-01,  4.52559850e-02
1961-08-01,  4.59386228e-01
1961-09-01,  4.62728476e-02
1961-10-01,  1.08714780e-01
1961-11-01, -3.65434076e-01
1961-12-01, -4.65176848e-01
1962-01-01, -4.83838449e-01
1962-02-01, -3.33423249e-01
1962-03-01, -1.41690374e-01
1962-04-01, -8.38665105e-01
1962-05-01, -1.62347280e+00
1962-06-01, -1.17123583e+00
1962-07-01, -6.35635508e-01
1962-08-01, -3.36885594e-01
1962-09-01, -3.53602117e-01
1962-10-01, -9.09065027e-01
1962-11-01, -8.95758136e-01
1962-12-01, -6.97820892e-01
1963-01-01, -3.03848468e-01
1963-02-01, -2.57154646e-01
1963-03-01, -4.88878103e-01
1963-04-01, -8.71128999e-01
1963-05-01, -1.34845696e+00
1963-06-01, -7.33876844e-01
1963-07-01, -2.78078241e-01
1963-08-01,  5.45290578e-01
1963-09-01,  4.43952098e-01
1963-10-01,  9.79325908e-01
1963-11-01,  1.02825077e+00
1963-12-01,  3.22147606e-01
1964-01-01,  6.36487821e-02
1964-02-01,  5.60484580e-02
1964-03-01,  1.02683768e-01
1964-04-01, -8.10269386e-01
1964-05-01, -2.17017367e+00
1964-06-01, -1.45437795e+00
1964-07-01, -2.18607247e+00
1964-08-01, -2.45858065e+00
1964-09-01, -2.66406138e+00
1964-10-01, -2.38472355e+00
1964-11-01, -2.40593862e+00
1964-12-01, -2.54929890e+00
1965-01-01, -2.27974490e+00
1965-02-01, -1.81298296e+00
1965-03-01, -1.91899414e+00
1965-04-01, -2.21820979e+00
1965-05-01, -2.89436749e+00
1965-06-01, -2.44797304e+00
1965-07-01, -1.91335402e+00
1965-08-01, -1.32531694e+00
1965-09-01, -7.75989657e-01
1965-10-01, -4.29819054e-01
1965-11-01, -9.28106255e-01
1965-12-01, -1.56675316e+00
1966-01-01, -1.02004451e+00
1966-02-01, -4.22978491e-01
1966-03-01, -8.79196784e-01
1966-04-01, -1.32176425e+00
1966-05-01, -1.67496077e+00
1966-06-01, -4.93047841e-01
1966-07-01, -1.51257950e-01
1966-08-01,  1.60292006e-01
1966-09-01,  3.58880609e-01
1966-10-01, -1.99772563e-01
1966-11-01, -5.60602824e-01
1966-12-01, -9.67205977e-01
1967-01-01, -1.24533101e+00
1967-02-01, -1.25406260e+00
1967-03-01, -2.05579605e-01
1967-04-01, -8.98264335e-01
1967-05-01, -7.54068010e-01
1967-06-01, -2.51497199e-01
1967-07-01, -2.49203454e-01
1967-08-01,  2.46045462e-01
1967-09-01,  9.42816407e-02
1967-10-01,  2.29463155e-01
1967-11-01, -5.00542477e-01
1967-12-01, -9.75200676e-01
1968-01-01, -1.21766676e+00
1968-02-01, -1.33747629e+00
1968-03-01, -1.76900771e+00
1968-04-01, -2.20567791e+00
1968-05-01, -2.26264219e+00
1968-06-01, -1.20724232e+00
1968-07-01, -1.59209131e+00
1968-08-01, -1.30799358e+00
1968-09-01, -1.27534809e+00
1968-10-01, -1.14805572e+00
1968-11-01, -1.71856729e+00
1968-12-01, -1.37053812e+00
1969-01-01, -4.84435918e-01
1969-02-01, -6.02729238e-02
1969-03-01,  6.84749987e-01
1969-04-01,  2.98411018e-01
1969-05-01, -5.19211897e-01
1969-06-01, -1.05611890e+00
1969-07-01, -7.72949629e-01
1969-08-01, -4.65411417e-02
1969-09-01,  3.21186727e-01
1969-10-01,  5.43419247e-01
1969-11-01,  2.20560703e-01
1969-12-01,  4.59840669e-01
1970-01-01,  9.90667768e-01
1970-02-01,  1.09970288e+00
1970-03-01,  1.07877487e+00
1970-04-01,  2.41655863e-01
1970-05-01, -5.62435412e-01
1970-06-01, -9.98234678e-01
1970-07-01, -1.26382928e+00
1970-08-01, -8.70672380e-01
1970-09-01, -1.36286096e+00
1970-10-01, -1.53382727e+00
1970-11-01, -1.51853228e+00
1970-12-01, -2.14493528e+00
1971-01-01, -1.67808818e+00
1971-02-01, -2.29261613e+00
1971-03-01, -1.97364806e+00
1971-04-01, -1.93561804e+00
1971-05-01, -2.37575320e+00
1971-06-01, -2.07785518e+00
1971-07-01, -2.31357734e+00
1971-08-01, -2.13762885e+00
1971-09-01, -2.35828261e+00
1971-10-01, -2.80665560e+00
1971-11-01, -2.42239505e+00
1971-12-01, -1.99800657e+00
1972-01-01, -1.22618037e+00
1972-02-01, -1.43354231e+00
1972-03-01, -1.27869541e+00
1972-04-01, -1.32549730e+00
1972-05-01, -7.66516555e-01
1972-06-01,  5.82172554e-01
1972-07-01,  4.33151157e-01
1972-08-01,  1.11280028e+00
1972-09-01,  1.37887581e+00
1972-10-01,  1.90298901e+00
1972-11-01,  2.21696156e+00
1972-12-01,  1.70346488e+00
1973-01-01,  8.85991997e-01
1973-02-01,  3.15347570e-01
1973-03-01,  5.50706571e-01
1973-04-01,  1.99140698e-01
1973-05-01, -5.83357492e-02
1973-06-01, -2.85883211e-01
1973-07-01, -3.80763769e-01
1973-08-01, -5.73546303e-01
1973-09-01, -8.80755777e-01
1973-10-01, -4.53411973e-01
1973-11-01, -1.07742294e+00
1973-12-01, -1.71054076e+00
1974-01-01, -1.50489477e+00
1974-02-01, -1.58046000e+00
1974-03-01, -1.10422949e+00
1974-04-01, -1.68420639e+00
1974-05-01, -1.82046630e+00
1974-06-01, -1.03541642e+00
1974-07-01, -9.02801016e-01
1974-08-01, -9.52482178e-01
1974-09-01, -1.15685766e+00
1974-10-01, -1.73628881e+00
1974-11-01, -1.88821531e+00
1974-12-01, -1.63192832e+00
1975-01-01, -1.60458383e+00
1975-02-01, -1.27210909e+00
1975-03-01, -1.76461920e+00
1975-04-01, -1.72202076e+00
1975-05-01, -1.18048403e+00
1975-06-01, -8.26359588e-01
1975-07-01, -7.64623318e-01
1975-08-01, -9.59525294e-01
1975-09-01, -1.67563090e+00
1975-10-01, -2.57911605e+00
1975-11-01, -2.73988504e+00
1975-12-01, -3.08101033e+00
1976-01-01, -2.60582499e+00
1976-02-01, -1.39155654e+00
1976-03-01, -1.41325914e+00
1976-04-01, -1.45614385e+00
1976-05-01, -1.34871729e+00
1976-06-01, -5.42043386e-02
1976-07-01,  1.17301732e-01
1976-08-01, -1.77590582e-01
1976-09-01, -3.77097829e-01
1976-10-01, -3.29499294e-01
1976-11-01, -6.80757139e-01
1976-12-01, -2.43577092e-01
1977-01-01,  1.67790996e-01
1977-02-01, -2.43536008e-01
1977-03-01,  3.30747332e-01
1977-04-01, -1.80558787e-01
1977-05-01, -6.36208913e-01
1977-06-01,  4.76357123e-01
1977-07-01,  5.43489198e-01
1977-08-01,  8.85667754e-01
1977-09-01,  1.26241906e+00
1977-10-01,  1.28784957e+00
1977-11-01,  6.54024036e-01
1977-12-01,  3.54777560e-01
1978-01-01, -5.02066658e-01
1978-02-01, -1.37611157e-01
1978-03-01, -4.46561207e-01
1978-04-01, -3.89103487e-01
1978-05-01, -1.48425750e+00
1978-06-01, -1.10555973e+00
1978-07-01, -1.05761261e+00
1978-08-01, -5.29889737e-01
1978-09-01, -6.34493218e-01
1978-10-01, -5.02633831e-01
1978-11-01, -1.23793924e+00
1978-12-01, -1.00738807e+00
1979-01-01,  4.89051508e-01
1979-02-01,  3.09523964e-02
1979-03-01,  6.57646045e-02
1979-04-01, -5.05590965e-01
1979-05-01, -1.19137993e+00
1979-06-01,  3.87638290e-01
1979-07-01,  4.48742891e-02
1979-08-01,  3.23700940e-01
1979-09-01,  1.87239790e-01
1979-10-01,  6.87929897e-01
1979-11-01,  6.06127908e-01
1979-12-01,  4.69991760e-01
1980-01-01,  4.36762770e-01
1980-02-01,  1.81069343e-01
1980-03-01, -2.35674301e-02
1980-04-01,  2.86296533e-01
1980-05-01,  1.58627905e-01
1980-06-01,  9.84896483e-02
1980-07-01, -2.10959316e-01
1980-08-01, -3.76561875e-02
1980-09-01, -1.80493494e-01
1980-10-01,  1.14270188e-01
1980-11-01,  9.13197783e-02
1980-12-01, -6.12977244e-01
1981-01-01, -4.55284503e-01
1981-02-01, -1.05479741e-01
1981-03-01,  3.63494248e-01
1981-04-01, -1.63067987e-01
