# mode: 0
# n_modes: 10
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# rotated: False
# loading_pattern_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# anomalies_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,pna_index
1960-10-01,  4.41586502e-01
1960-11-01, -2.14295650e-01
1960-12-01,  9.73072596e-01
1961-01-01,  1.68922832e+00
1961-02-01,  6.08511531e-02
1961-03-01,  3.64965012e-01
1961-04-01, -1.33425937e+00
1961-05-01, -2.97960613e-01
1961-06-01,  6.74090454e-02
1961-07-01,  1.54989052e-01
1961-08-01,  3.66331827e-01
1961-09-01, -1.03477586e+00
1961-10-01, -9.51621201e-01
1961-11-01, -2.93971564e-01
1961-12-01, -7.08016781e-01
1962-01-01, -2.05160721e+00
1962-02-01, -9.04007895e-01
1962-03-01, -3.13854293e-01
1962-04-01, -1.51383479e+00
1962-05-01, -1.15271850e+00
1962-06-01, -6.27184054e-01
1962-07-01,  2.22112029e-01
1962-08-01, -1.31691915e-01
1962-09-01, -3.23635407e-01
1962-10-01,  7.67188300e-01
1962-11-01,  7.06597340e-01
1962-12-01, -2.21054958e-02
1963-01-01, -1.25511210e+00
1963-02-01,  1.15674881e+00
1963-03-01, -2.99847546e+00
1963-04-01, -8.85733235e-01
1963-05-01, -8.35422582e-01
1963-06-01, -3.93514655e-02
1963-07-01, -3.73391451e-01
1963-08-01,  3.45121196e-01
1963-09-01,  8.01028235e-01
1963-10-01,  4.87483507e-01
1963-11-01,  4.67843690e-01
1963-12-01,  1.75935690e+00
1964-01-01, -4.38892077e-01
1964-02-01, -3.16198805e-01
1964-03-01, -2.41603877e+00
1964-04-01, -1.84281023e+00
1964-05-01, -1.67700415e+00
1964-06-01,  1.21579944e-02
1964-07-01,  2.26474109e-01
1964-08-01,  2.38385101e-01
1964-09-01, -3.94525532e-01
1964-10-01,  1.55143070e-01
1964-11-01, -1.37101805e-01
1964-12-01, -1.46429578e+00
1965-01-01, -3.66739528e-01
1965-02-01, -1.56092116e+00
1965-03-01, -1.77859303e-01
1965-04-01, -9.69686709e-01
1965-05-01, -5.61713892e-01
1965-06-01,  8.50317701e-01
1965-07-01,  1.96902715e-01
1965-08-01,  2.86393159e-01
1965-09-01, -4.20725569e-01
1965-10-01,  5.14565069e-01
1965-11-01, -3.49829662e-01
1965-12-01, -1.18842728e+00
1966-01-01,  6.03057021e-01
1966-02-01, -9.97827312e-01
1966-03-01,  2.81133196e-01
1966-04-01, -2.56718012e-01
1966-05-01, -5.48777486e-01
1966-06-01,  6.15022156e-01
1966-07-01,  7.03497429e-02
1966-08-01,  4.92880658e-01
1966-09-01,  9.99027123e-01
1966-10-01, -2.32263691e-01
1966-11-01, -1.79686112e+00
1966-12-01,  4.46470272e-01
1967-01-01, -8.83140412e-01
1967-02-01, -1.18203228e+00
1967-03-01, -2.66248230e+00
1967-04-01, -2.31467213e+00
1967-05-01, -1.27340370e+00
1967-06-01, -9.52704266e-02
1967-07-01, -6.23169421e-01
1967-08-01,  5.54636148e-01
1967-09-01,  1.30727166e+00
1967-10-01,  7.78348980e-01
1967-11-01, -4.66226965e-01
1967-12-01, -8.38409777e-01
1968-01-01, -1.63332664e+00
1968-02-01,  2.15695300e+00
1968-03-01, -1.26844760e-01
1968-04-01, -1.10950917e+00
1968-05-01,  3.70807023e-02
1968-06-01,  4.24942414e-01
1968-07-01,  2.30828724e-01
1968-08-01,  3.80240633e-01
1968-09-01,  3.09287346e-01
