# n_modes: 20
# low_latitude_boundary:  -2.00000000e+01
# eofs_start_date: 19790101
# eofs_end_date: 20011230
# loading_pattern_input_file: nnr1.hgt.500.19480101_20200530.anom.dayofyear.19790101_20011230.nc
# anomalies_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# psa1_mode: 1
# psa2_mode: 2
# psa1_index_normalization:   1.19149719e+03
# psa2_index_normalization:   1.15511682e+03
# calendar: proleptic_gregorian
date,psa_index_1,psa_index_2
1957-01-01,  3.77991272e-02,  9.82408380e-01
1957-02-01,  5.87863533e-01, -1.78203664e-01
1957-03-01,  2.51452586e-01,  6.72978185e-01
1957-04-01,  1.95054025e-01, -4.27601251e-03
1957-05-01, -1.15363918e+00,  1.44687214e+00
1957-06-01, -7.92758520e-01, -5.09145626e-01
1957-07-01, -1.68477664e-02,  2.21114108e-01
1957-08-01,  7.69135515e-01, -5.33705632e-01
1957-09-01,  8.81691207e-01,  2.11937380e-01
1957-10-01, -1.20633124e+00,  9.97871298e-01
1957-11-01,  3.05079312e-02,  1.23521625e+00
1957-12-01,  1.08212571e-01,  4.70061328e-01
1958-01-01, -1.17870640e-01,  2.18492056e-01
1958-02-01,  1.48441789e-01, -8.24365179e-01
1958-03-01,  5.21767219e-01, -2.87547872e-01
1958-04-01, -8.35437948e-01,  2.17540447e-01
1958-05-01, -4.76376898e-01,  2.47789654e-01
1958-06-01, -9.32805799e-01, -2.71919011e-02
1958-07-01,  1.70763216e-01,  1.88493421e-01
1958-08-01, -7.10383049e-01,  1.01645819e-01
1958-09-01, -6.70028937e-01,  1.23828855e-01
1958-10-01,  5.84469024e-01,  1.12551832e+00
1958-11-01,  1.08831815e-01,  2.20517646e-01
1958-12-01, -3.09827591e-01, -4.93740586e-01
1959-01-01,  9.69681061e-03, -8.12294985e-01
1959-02-01, -5.72875926e-01, -4.89919684e-02
1959-03-01, -5.51795918e-01,  2.42990941e-01
1959-04-01, -7.88119077e-01, -2.27515033e-01
1959-05-01, -1.16453096e+00,  8.54758372e-01
1959-06-01,  4.30058311e-01, -1.49588601e-01
1959-07-01, -2.01173733e-01,  6.36928751e-02
1959-08-01,  2.06253334e-02,  3.11907430e-01
1959-09-01,  4.79147602e-01,  1.68993079e-01
1959-10-01, -4.12675718e-01,  3.27783146e-01
1959-11-01, -3.00656596e-01, -9.24507604e-01
1959-12-01,  7.15742671e-01, -3.61431464e-01
1960-01-01, -7.48548799e-01, -4.12506363e-01
1960-02-01,  9.13929454e-02,  3.53317905e-01
1960-03-01, -4.25430017e-01,  1.94815734e-01
1960-04-01, -4.42539189e-02, -2.00622262e-01
1960-05-01,  1.31122818e+00,  3.57100354e-01
1960-06-01,  2.71795436e-01,  2.18324109e-01
1960-07-01, -7.52850996e-01,  3.28644374e-01
1960-08-01,  6.14204652e-01,  2.75814319e-01
1960-09-01,  7.32978309e-01,  2.27074549e-01
1960-10-01,  1.54513154e-01,  6.17470887e-01
1960-11-01, -7.40586476e-02,  3.06671527e-01
1960-12-01, -7.10074707e-01, -5.15478099e-02
1961-01-01, -7.01336685e-01,  2.81876373e-01
1961-02-01,  1.51433548e-01,  1.22227247e-01
1961-03-01, -4.11729150e-01,  4.67655229e-01
1961-04-01,  8.26647165e-02, -5.82609953e-01
1961-05-01, -3.08605409e-01,  7.21480510e-01
1961-06-01, -2.91618778e-01,  7.85953693e-02
1961-07-01, -1.25158674e-01, -1.01057791e-01
1961-08-01,  6.74848472e-01, -3.54395627e-01
1961-09-01,  4.63857781e-01,  4.53610439e-01
1961-10-01,  2.75964446e-01,  2.26875068e-01
1961-11-01,  3.33695554e-02, -4.71142291e-01
1961-12-01, -1.98879171e-01, -5.82169806e-01
1962-01-01, -1.64515738e-01, -5.31107209e-01
1962-02-01,  5.96269678e-02,  1.89974912e-01
1962-03-01, -1.60544732e-01,  3.23215433e-01
1962-04-01, -7.17980148e-02,  2.55357012e-01
1962-05-01,  9.67600484e-01,  3.25629887e-01
1962-06-01,  3.63773345e-01,  1.03141139e+00
1962-07-01,  3.70018189e-01,  2.10239258e-01
1962-08-01, -3.26911451e-01, -1.78202939e-01
1962-09-01, -8.56673251e-02,  4.83371734e-01
1962-10-01,  7.75469369e-01,  7.19818108e-01
1962-11-01,  2.44208218e-01,  5.04752100e-01
1962-12-01, -2.47152391e-01, -4.88032497e-01
1963-01-01, -3.05633298e-01, -5.63438870e-01
1963-02-01,  5.62282280e-01, -1.17964490e-01
1963-03-01, -1.15393389e+00, -2.66644184e-01
1963-04-01, -4.99850925e-01, -1.37216707e-01
1963-05-01, -7.53449721e-01,  1.21687461e-01
1963-06-01, -1.28196336e-01,  2.70627540e-01
1963-07-01,  3.85417506e-02,  3.31095814e-01
1963-08-01,  5.21562674e-01,  9.86451720e-02
1963-09-01,  3.22996184e-01,  2.43501360e-01
1963-10-01, -1.85707897e-01, -1.16088825e+00
1963-11-01,  2.70042388e-01, -5.83045242e-01
1963-12-01, -3.23777596e-01,  5.46311546e-01
1964-01-01,  2.53615445e-01,  8.86807310e-01
1964-02-01,  1.13758646e-01,  1.97449347e-01
1964-03-01,  3.29414746e-01,  2.84171981e-01
1964-04-01,  3.54658139e-01, -5.16494517e-01
1964-05-01, -1.22539284e-01,  2.39415580e-01
1964-06-01,  6.76142406e-01,  6.05278686e-01
1964-07-01,  1.42671024e+00,  1.62495028e+00
1964-08-01, -1.28615254e+00,  4.75571432e-01
1964-09-01, -8.34205597e-02,  2.15443486e-01
1964-10-01, -2.74735825e-01,  5.78315964e-01
1964-11-01,  2.98455447e-01,  9.10704938e-02
1964-12-01,  5.72763118e-01,  3.32784871e-01
1965-01-01,  5.25946211e-01,  5.63550360e-01
1965-02-01, -2.00503353e-01,  1.45761167e+00
1965-03-01,  6.29582968e-01,  1.18231651e+00
1965-04-01,  2.93602649e-01,  2.76788064e-01
1965-05-01, -2.10442108e-01,  6.03864629e-01
1965-06-01, -6.32676522e-01,  4.39711314e-01
1965-07-01,  3.52607586e-02, -2.57683183e-01
1965-08-01,  5.78464800e-01, -1.28353408e-02
1965-09-01, -9.62570239e-02, -4.54811799e-01
1965-10-01, -9.19426624e-01,  1.51477504e-01
1965-11-01, -7.38411213e-01,  3.98327944e-01
1965-12-01, -2.91445400e-01, -2.38403141e-01
1966-01-01, -2.22015096e-01, -9.11314321e-02
1966-02-01,  9.39167664e-02, -6.59998546e-01
1966-03-01,  2.00471739e-01,  4.77368341e-01
1966-04-01, -6.71210049e-01,  2.99599050e-02
1966-05-01,  7.23966565e-01,  1.22488026e+00
1966-06-01, -7.38367225e-01, -1.83514779e-01
1966-07-01, -1.06314547e-01,  4.75227331e-01
1966-08-01,  6.10841880e-02, -2.21363069e-02
1966-09-01,  4.13600394e-01, -4.33903056e-01
1966-10-01, -5.09970813e-02, -2.89881424e-01
1966-11-01,  1.79113493e-01,  2.38318242e-01
1966-12-01,  3.18912824e-01,  2.85874739e-01
1967-01-01,  5.45415932e-01,  4.02150047e-01
1967-02-01, -2.20436761e-02, -1.58878416e-01
1967-03-01,  6.12043380e-01, -6.55511167e-02
1967-04-01,  2.05990117e-01, -2.14544013e-01
1967-05-01,  2.33459988e-03, -1.62350938e-01
1967-06-01,  8.45140226e-01,  9.37076857e-03
1967-07-01,  8.51290192e-01, -4.78323544e-01
1967-08-01,  5.50476967e-01, -2.37937159e-02
1967-09-01, -6.45114513e-02,  5.73868479e-01
1967-10-01,  2.39601572e-01,  1.41702306e-01
1967-11-01, -1.75780462e-01,  9.30532681e-01
1967-12-01,  4.12215236e-01,  2.09920090e-01
