# mode: 0
# n_modes: 20
# low_latitude_boundary:  -2.00000000e+01
# index_normalization:   9.64249207e+02
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# anomalies_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,sam_index
1960-08-01, -9.73542436e-01
1960-09-01, -2.06353505e-01
1960-10-01, -1.59415118e-01
1960-11-01,  2.64971729e-02
1960-12-01, -6.23853728e-01
1961-01-01, -2.37223146e-01
1961-02-01, -1.14730969e+00
1961-03-01, -5.98535406e-01
1961-04-01, -4.77908466e-01
1961-05-01, -7.54245641e-01
1961-06-01, -1.43141314e+00
1961-07-01, -8.73969751e-01
1961-08-01,  1.54706743e-02
1961-09-01, -1.11394097e+00
1961-10-01, -2.37007389e-01
1961-11-01, -1.56915666e-01
1961-12-01,  1.11694471e+00
1962-01-01,  1.09128612e+00
1962-02-01, -3.32072824e-01
1962-03-01, -2.44917951e-01
1962-04-01,  8.21484318e-01
1962-05-01,  3.44926719e-01
1962-06-01, -1.09650500e+00
1962-07-01,  9.97063073e-01
1962-08-01, -3.44183384e-01
1962-09-01,  5.25099140e-01
1962-10-01, -5.89572901e-01
1962-11-01, -1.03674658e+00
1962-12-01,  1.70808501e-01
1963-01-01,  3.44615833e-01
1963-02-01,  7.15202707e-01
1963-03-01, -4.19680254e-01
1963-04-01, -7.71163951e-01
1963-05-01, -6.67766392e-01
1963-06-01, -8.54543901e-01
1963-07-01, -1.09234360e+00
1963-08-01, -3.11769687e+00
1963-09-01, -7.25232261e-01
1963-10-01, -2.80986381e-01
1963-11-01, -6.62273689e-01
1963-12-01, -5.54418205e-01
1964-01-01, -1.55238258e+00
1964-02-01, -7.04722241e-01
1964-03-01, -8.87440285e-01
1964-04-01, -5.34543801e-01
1964-05-01, -5.72847557e-01
1964-06-01, -1.97202616e+00
1964-07-01, -2.82378941e+00
1964-08-01, -2.24380558e+00
1964-09-01,  4.45398946e-01
1964-10-01,  1.53141008e-01
1964-11-01, -1.41570321e+00
1964-12-01, -1.19739015e+00
1965-01-01, -5.28515856e-01
1965-02-01, -2.63582074e+00
1965-03-01, -5.56746684e-01
1965-04-01, -1.28637212e+00
1965-05-01, -2.55344150e+00
1965-06-01,  1.02503910e-01
1965-07-01, -1.33038715e+00
1965-08-01, -5.41262855e-01
1965-09-01, -7.18576012e-01
1965-10-01, -1.68799657e+00
1965-11-01, -3.24373945e-01
1965-12-01, -2.38486675e+00
1966-01-01, -3.48868619e-01
1966-02-01, -1.21185359e+00
1966-03-01, -2.71212592e+00
1966-04-01, -1.30457396e+00
1966-05-01, -1.54826256e+00
1966-06-01,  5.11316265e-01
1966-07-01, -2.81605951e-01
1966-08-01,  6.86809003e-01
1966-09-01, -1.48804198e-01
1966-10-01,  4.73242043e-01
1966-11-01, -9.15488120e-01
1966-12-01, -9.54931088e-01
1967-01-01, -2.10732608e+00
1967-02-01, -9.59639759e-01
1967-03-01, -2.72798424e-01
1967-04-01, -3.27218444e-01
1967-05-01, -8.31818296e-01
1967-06-01, -6.31162503e-01
1967-07-01, -4.52746373e-01
1967-08-01,  2.97816851e-01
1967-09-01, -3.94778125e-01
1967-10-01, -1.62064576e-01
1967-11-01, -1.15248509e+00
1967-12-01, -9.85442365e-01
1968-01-01, -7.33963304e-01
1968-02-01, -9.39235138e-01
1968-03-01, -5.73910389e-01
1968-04-01, -2.75414112e-01
1968-05-01, -1.62020810e+00
1968-06-01,  4.42487130e-01
1968-07-01,  9.14460905e-01
1968-08-01, -2.49144932e-01
1968-09-01, -1.37241471e+00
1968-10-01, -1.69352993e+00
1968-11-01, -1.56491315e+00
1968-12-01, -8.74729812e-01
1969-01-01, -1.89420140e+00
1969-02-01, -9.40029164e-01
1969-03-01, -5.95785399e-01
1969-04-01, -7.64878069e-01
1969-05-01, -5.29120686e-01
1969-06-01, -5.98691798e-01
1969-07-01,  4.96041174e-01
1969-08-01,  8.34832033e-01
1969-09-01,  1.11407890e+00
1969-10-01, -7.91199517e-01
1969-11-01,  7.28076723e-01
1969-12-01, -2.79098288e-01
1970-01-01, -1.49192288e-01
1970-02-01,  3.86618160e-01
1970-03-01, -6.32439501e-01
1970-04-01, -8.17059122e-01
1970-05-01,  1.70849317e-01
1970-06-01,  5.45338656e-01
1970-07-01, -5.23530764e-01
1970-08-01,  1.59160093e+00
1970-09-01,  4.00041343e-01
1970-10-01, -9.99342596e-01
1970-11-01,  8.66724529e-02
1970-12-01, -1.27921331e+00
1971-01-01, -1.24533726e+00
1971-02-01, -8.18407112e-02
1971-03-01,  3.20455780e-01
1971-04-01, -9.90609925e-02
1971-05-01, -1.50851981e+00
1971-06-01,  4.28352177e-01
1971-07-01, -2.14192760e-01
1971-08-01,  1.19001428e-01
1971-09-01,  2.20102545e-01
1971-10-01, -7.43449823e-01
1971-11-01, -4.55437870e-03
1971-12-01, -1.49086445e+00
1972-01-01, -2.17054649e+00
1972-02-01, -1.13246528e+00
1972-03-01, -8.06473298e-01
1972-04-01, -1.66979805e+00
1972-05-01, -7.10849599e-01
1972-06-01, -1.59610792e+00
1972-07-01, -9.06975826e-01
1972-08-01, -1.49322968e+00
1972-09-01, -3.34316553e-01
1972-10-01, -7.29373008e-02
1972-11-01,  2.74205441e-01
1972-12-01, -9.91339831e-01
1973-01-01, -1.32795488e+00
1973-02-01,  1.54932319e-01
1973-03-01,  1.21169026e+00
1973-04-01, -6.90413740e-01
1973-05-01, -2.10952234e+00
1973-06-01, -1.61932994e-01
1973-07-01,  5.26765284e-01
1973-08-01,  1.05810518e+00
1973-09-01, -5.01712544e-01
1973-10-01,  2.21721472e-01
1973-11-01, -8.15358642e-01
1973-12-01,  4.32415506e-01
1974-01-01, -8.39796178e-01
1974-02-01,  1.07274259e+00
1974-03-01,  7.34779410e-01
1974-04-01,  5.62334293e-01
1974-05-01, -1.36855088e-01
1974-06-01, -2.19422652e-01
1974-07-01,  2.16976625e-02
1974-08-01, -1.88729818e+00
1974-09-01,  1.01917061e+00
1974-10-01, -5.14722873e-01
1974-11-01, -1.71129483e+00
1974-12-01, -1.61886698e+00
1975-01-01, -1.06437169e+00
1975-02-01, -4.13779653e-01
1975-03-01, -1.80401047e-01
1975-04-01,  3.09336828e-01
1975-05-01, -1.42307586e+00
1975-06-01, -7.54669026e-01
1975-07-01, -1.27475938e+00
1975-08-01,  1.13849638e+00
1975-09-01,  1.45668356e+00
1975-10-01,  8.52574578e-01
1975-11-01, -7.90070640e-01
1975-12-01, -9.93882337e-01
1976-01-01, -1.41828898e+00
1976-02-01, -1.75853264e-01
1976-03-01, -1.44440202e-01
1976-04-01,  1.23132528e+00
1976-05-01,  2.38597667e-01
1976-06-01, -5.40346782e-02
1976-07-01, -3.33552506e-01
1976-08-01,  1.36693166e-01
1976-09-01,  5.25375169e-01
1976-10-01,  1.26280962e-01
1976-11-01, -1.48284138e+00
1976-12-01, -3.54524978e+00
1977-01-01, -2.25252335e+00
1977-02-01, -4.18328210e-01
1977-03-01, -3.12791686e-01
1977-04-01, -5.14994777e-01
1977-05-01, -8.53272726e-01
1977-06-01, -4.60209778e-01
1977-07-01, -5.46666869e-01
1977-08-01, -8.61420354e-01
1977-09-01,  4.09376893e-01
