# mode: 0
# n_modes: 20
# low_latitude_boundary:   2.00000000e+01
# index_normalization:   7.62843323e+02
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# anomalies_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,ao_index
1960-08-01, -1.07670293e+00
1960-09-01,  1.21344469e-01
1960-10-01, -8.43800812e-01
1960-11-01, -7.84815380e-02
1960-12-01, -8.75673104e-01
1961-01-01, -1.37954319e+00
1961-02-01,  8.80876360e-01
1961-03-01,  4.78418573e-01
1961-04-01,  3.06723348e-01
1961-05-01, -1.92791077e-02
1961-06-01,  3.85543744e-01
1961-07-01, -2.90997488e-01
1961-08-01, -3.56968945e-02
1961-09-01,  9.12343178e-01
1961-10-01,  3.22009764e-01
1961-11-01,  4.64304654e-01
1961-12-01, -9.51107363e-01
1962-01-01,  1.63186623e+00
1962-02-01, -3.04038738e-01
1962-03-01, -2.95065464e+00
1962-04-01,  1.50435159e+00
1962-05-01,  4.72778075e-01
1962-06-01,  4.66777305e-01
1962-07-01, -7.97672857e-01
1962-08-01,  3.69877229e-02
1962-09-01,  4.36159721e-01
1962-10-01,  6.96714661e-02
1962-11-01, -1.06916974e+00
1962-12-01, -4.51997675e-01
1963-01-01, -1.84558942e+00
1963-02-01, -1.58698293e+00
1963-03-01,  1.98045654e+00
1963-04-01,  3.13755022e-01
1963-05-01,  1.12660370e+00
1963-06-01, -1.46415804e-01
1963-07-01,  2.96634121e-01
1963-08-01, -4.31247156e-01
1963-09-01,  3.27432407e-01
1963-10-01,  9.60778887e-01
1963-11-01, -2.48992627e-01
1963-12-01, -1.52320608e+00
1964-01-01,  1.11989374e+00
1964-02-01, -5.63549865e-01
1964-03-01,  1.17742260e+00
1964-04-01,  1.77442837e+00
1964-05-01,  2.01013156e+00
1964-06-01,  3.20033391e-01
1964-07-01,  6.51726862e-01
1964-08-01, -1.14113802e+00
1964-09-01, -6.85038309e-02
1964-10-01,  1.24066535e-01
1964-11-01,  9.89756355e-03
1964-12-01,  4.03320543e-02
1965-01-01, -4.53915204e-01
1965-02-01, -1.98480804e+00
1965-03-01, -1.04810259e+00
1965-04-01,  9.46442547e-01
1965-05-01,  9.03780468e-02
1965-06-01, -1.75632414e-01
1965-07-01, -7.29310994e-01
1965-08-01, -4.16370093e-01
1965-09-01, -5.12611734e-01
1965-10-01,  6.56621081e-01
1965-11-01, -1.52970487e+00
1965-12-01,  5.15633074e-01
1966-01-01, -1.66121320e+00
1966-02-01, -9.79101645e-01
1966-03-01, -4.77350075e-01
1966-04-01, -7.39024360e-01
1966-05-01,  1.44832184e+00
1966-06-01,  4.23290822e-01
1966-07-01, -3.48802166e-01
1966-08-01, -1.07649271e+00
1966-09-01, -4.53647886e-01
1966-10-01, -1.45511141e-01
1966-11-01,  2.49528578e-01
1966-12-01, -1.03112165e+00
1967-01-01, -3.43724305e-01
1967-02-01,  1.34264154e+00
1967-03-01,  1.94896570e+00
1967-04-01,  1.79289930e+00
1967-05-01,  3.04523538e-01
1967-06-01,  3.68337504e-01
1967-07-01,  5.84083406e-01
1967-08-01, -1.72933584e-01
1967-09-01, -3.77009831e-01
1967-10-01,  4.65279643e-01
1967-11-01,  4.35285083e-01
1967-12-01, -9.46338613e-01
1968-01-01,  6.90364276e-02
1968-02-01, -2.11741827e+00
1968-03-01,  8.67828694e-01
1968-04-01,  5.75161752e-01
1968-05-01, -2.52536705e-01
1968-06-01,  1.98564377e-01
1968-07-01, -6.57443212e-01
1968-08-01, -7.79345717e-01
1968-09-01, -7.62820829e-01
1968-10-01, -8.06789350e-01
1968-11-01, -1.15765760e+00
1968-12-01, -1.04401862e-01
1969-01-01, -1.61023626e+00
1969-02-01, -2.59821607e+00
1969-03-01, -7.99925575e-01
1969-04-01,  7.02640795e-01
1969-05-01, -4.24395338e-01
1969-06-01, -3.66706478e-01
1969-07-01,  7.96782553e-01
1969-08-01, -6.31387153e-01
1969-09-01,  1.25580065e-01
1969-10-01, -1.72634819e-01
1969-11-01, -9.69348537e-01
1969-12-01, -2.69879789e+00
1970-01-01, -2.02101008e+00
1970-02-01, -1.85191828e+00
1970-03-01, -2.70282125e+00
1970-04-01,  6.33796395e-01
1970-05-01,  9.41122543e-01
1970-06-01,  8.09544019e-01
