# mode: 0
# n_modes: 10
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# rotated: False
# loading_pattern_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# anomalies_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,pna_index
1972-09-01, -9.44225049e-01
1972-10-01, -6.09992251e-01
1972-11-01,  5.68748022e-01
1972-12-01, -1.43091496e+00
1973-01-01, -4.37243522e-01
1973-02-01,  3.07937670e-01
1973-03-01, -5.04508535e-01
1973-04-01, -2.65221405e-01
1973-05-01,  5.05987987e-01
1973-06-01,  4.31649800e-01
1973-07-01,  2.11751912e-01
1973-08-01,  4.29514473e-02
1973-09-01,  4.41347213e-01
1973-10-01, -3.02844527e-01
1973-11-01, -1.32302571e+00
1973-12-01,  8.62494848e-01
1974-01-01, -2.39990605e+00
1974-02-01, -1.05717186e+00
1974-03-01, -6.38862912e-01
1974-04-01, -4.10259643e-01
1974-05-01, -3.64326277e-01
1974-06-01, -8.68633996e-02
1974-07-01,  5.58908217e-01
1974-08-01,  3.46458020e-01
1974-09-01, -5.13094444e-01
1974-10-01,  8.76222556e-01
1974-11-01,  6.37469029e-01
1974-12-01,  9.90932739e-01
1975-01-01, -1.96066366e+00
1975-02-01, -3.25262957e-01
1975-03-01, -1.11428191e+00
1975-04-01, -1.04974171e+00
1975-05-01,  2.68340225e-01
1975-06-01, -2.69510440e-02
1975-07-01,  3.01535302e-01
1975-08-01, -2.08896798e-01
1975-09-01, -1.55830791e-01
1975-10-01, -4.37621178e-01
1975-11-01, -5.47437881e-01
1975-12-01, -1.71892903e-01
1976-01-01, -2.28652466e-01
1976-02-01, -2.06586090e+00
1976-03-01, -1.74281999e+00
1976-04-01,  4.57050625e-01
1976-05-01,  2.83081828e-01
1976-06-01, -2.88331359e-01
1976-07-01,  1.04353156e+00
1976-08-01,  4.78677722e-01
1976-09-01,  1.07779081e+00
1976-10-01,  5.98679250e-01
1976-11-01,  1.49130000e+00
1976-12-01,  5.91766810e-01
1977-01-01,  1.91860283e+00
1977-02-01,  2.31658401e+00
1977-03-01, -1.40982242e+00
1977-04-01, -6.25455928e-01
1977-05-01,  2.64178487e-01
1977-06-01,  3.90420582e-01
1977-07-01, -1.54276074e-01
1977-08-01,  2.78089163e-01
1977-09-01, -9.72338746e-01
1977-10-01,  5.10372324e-01
1977-11-01,  1.98429168e-01
1977-12-01, -5.72072697e-01
1978-01-01,  1.07366277e+00
1978-02-01,  3.20153452e+00
1978-03-01, -1.14597452e-01
1978-04-01, -1.42365531e-01
1978-05-01, -4.92202741e-01
1978-06-01, -1.30914704e+00
1978-07-01, -2.73173204e-01
1978-08-01, -2.66652758e-01
1978-09-01,  3.67672159e-01
1978-10-01, -1.11774904e-01
1978-11-01, -1.15517389e+00
1978-12-01, -1.40378621e+00
1979-01-01, -9.38138547e-02
1979-02-01, -2.33119160e+00
1979-03-01, -1.20939779e-02
1979-04-01, -5.86315770e-01
1979-05-01,  7.04883549e-01
1979-06-01, -1.07672739e+00
1979-07-01,  1.00469260e-02
1979-08-01,  1.26283132e-01
1979-09-01,  6.01557646e-01
1979-10-01,  1.10805723e+00
1979-11-01,  2.17651449e-01
1979-12-01, -6.76006566e-01
1980-01-01, -6.20388832e-01
1980-02-01,  2.52738773e+00
1980-03-01, -4.17722574e-01
1980-04-01,  1.34658902e+00
1980-05-01,  7.08632675e-01
1980-06-01, -9.80980461e-01
1980-07-01, -4.49480344e-01
1980-08-01, -1.82217053e-01
1980-09-01, -3.09612182e-01
