# n_modes: 20
# low_latitude_boundary:  -2.00000000e+01
# eofs_start_date: 19790101
# eofs_end_date: 20011230
# loading_pattern_input_file: jra.55.hgt.500.1958010100_2018123118.anom.dayofyear.19790101_20011230.nc
# anomalies_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# psa1_mode: 1
# psa2_mode: 2
# psa1_index_normalization:   2.58176514e+03
# psa2_index_normalization:   2.48715283e+03
# calendar: proleptic_gregorian
date,psa_index_1,psa_index_2
1967-01-01, -6.86752948e-03,  4.53624703e-01
1967-02-01,  1.05329967e-04, -3.28233364e-01
1967-03-01,  2.05464407e-01, -3.45029795e-01
1967-04-01,  5.83924260e-02, -4.54570807e-01
1967-05-01,  1.09806579e+00,  6.05002964e-01
1967-06-01,  6.32323577e-01,  2.58695844e-01
1967-07-01,  7.31343479e-01,  1.51815022e-01
1967-08-01,  7.78993465e-01,  1.26633613e-01
1967-09-01,  2.51911017e-01,  4.93439522e-01
1967-10-01,  8.56912859e-01,  1.30320732e-01
1967-11-01, -2.41921981e-01,  9.33540185e-01
1967-12-01,  1.39319257e-01,  7.11572675e-02
1968-01-01, -1.15202139e+00,  2.54197621e-01
1968-02-01, -8.05474503e-01, -2.96940333e-02
1968-03-01,  6.19455438e-01, -1.08058595e+00
1968-04-01,  1.10982125e+00,  7.22684526e-01
1968-05-01,  6.19355397e-01,  7.60134048e-01
1968-06-01, -3.89230824e-01,  2.36650836e-01
1968-07-01,  4.98478124e-02,  7.46207023e-02
1968-08-01,  2.48298561e-01,  8.60448481e-01
1968-09-01, -8.97606971e-01, -2.36487938e-01
1968-10-01, -8.19440838e-01,  1.06143687e+00
1968-11-01,  3.93767332e-02,  9.85296808e-01
1968-12-01,  3.71745906e-01,  4.05226065e-01
1969-01-01,  3.35851331e-01,  3.30852472e-02
1969-02-01, -4.74124443e-01, -6.94286822e-02
1969-03-01, -2.00693682e-01, -2.85780828e-01
1969-04-01,  8.03994355e-02,  8.31366310e-01
1969-05-01, -1.01453154e-01, -2.47669193e-01
1969-06-01,  1.94707594e-01,  1.20253141e+00
1969-07-01, -7.06311724e-02, -3.57351235e-01
1969-08-01,  7.81466229e-01, -2.90416931e-01
1969-09-01,  9.44460676e-01,  1.01722245e+00
1969-10-01, -9.80841782e-01, -1.48915110e-01
1969-11-01,  5.38323464e-01, -5.11438127e-01
1969-12-01,  2.77415114e-01,  1.87772832e-01
1970-01-01,  1.04669366e-01, -6.82677950e-01
1970-02-01, -1.42425570e-01,  1.65163675e-01
1970-03-01,  7.17728643e-01,  2.97397997e-02
1970-04-01, -3.40675499e-01, -4.96904684e-01
1970-05-01,  1.78819029e-02,  4.10772799e-01
1970-06-01,  1.30658428e+00,  2.88697859e-01
1970-07-01, -1.41123794e-02,  9.13595370e-01
1970-08-01,  4.03723706e-01,  1.52863941e-01
1970-09-01,  6.61183447e-01,  1.06789194e+00
1970-10-01,  1.04621716e+00,  3.46143916e-01
1970-11-01,  7.00973115e-01, -3.98683576e-01
1970-12-01,  3.61213885e-01,  4.65105627e-02
1971-01-01,  2.17979024e-01, -3.04366635e-01
1971-02-01,  2.26600570e-01, -6.28929121e-01
1971-03-01,  4.54573003e-02, -2.04482772e-01
1971-04-01,  4.63585950e-01, -6.32209568e-01
1971-05-01,  6.93685330e-01,  4.34398957e-01
1971-06-01,  4.18734940e-01,  4.46968704e-01
1971-07-01,  7.53467462e-01,  2.10081175e-01
1971-08-01,  9.40995127e-01,  8.88936265e-01
1971-09-01,  2.00330470e-01,  5.90597143e-01
1971-10-01,  4.98694434e-01,  3.60776688e-01
1971-11-01,  2.71497709e-01,  5.47145684e-01
1971-12-01, -6.80992564e-02, -1.12610662e-02
1972-01-01, -1.49211652e-01,  4.02892559e-01
1972-02-01, -1.06586364e-01, -1.28427830e-01
1972-03-01,  2.34016777e-01, -4.36791754e-01
1972-04-01, -8.14679983e-02,  3.66209674e-01
1972-05-01, -7.63615887e-01, -4.94546617e-02
1972-06-01, -7.51372296e-01,  7.35584928e-01
1972-07-01,  3.26222067e-02,  2.97536146e-01
1972-08-01,  6.07153554e-01, -4.52380563e-01
1972-09-01, -2.69160291e-01, -2.50352174e-01
1972-10-01, -9.72716353e-01, -2.78086956e-01
1972-11-01,  7.36198272e-01, -6.57289385e-01
1972-12-01, -1.90013669e-01,  1.06537977e+00
1973-01-01,  1.83252447e-01, -3.90173692e-01
1973-02-01, -1.01201081e-01, -9.62388519e-01
1973-03-01, -7.07089059e-01,  2.34779178e-01
1973-04-01, -9.19212413e-01,  4.25209872e-02
1973-05-01, -1.82321735e-01,  2.96111928e-01
1973-06-01,  1.12928344e-01,  1.41905936e-01
1973-07-01,  1.51524341e+00, -1.53643793e-01
1973-08-01,  7.99225268e-01,  2.44433980e-01
1973-09-01,  2.44304578e-01, -8.19505582e-02
1973-10-01,  3.06310046e-01, -8.02678342e-02
1973-11-01,  2.32204039e-01, -2.73062634e-01
1973-12-01, -2.74632181e-01, -6.08344013e-01
1974-01-01, -8.35176582e-02,  4.66971605e-02
1974-02-01, -1.40828430e-01, -5.59087561e-01
1974-03-01, -1.31293442e-01,  2.33670507e-01
1974-04-01,  6.93502168e-01,  2.13547597e-02
1974-05-01,  4.90903061e-01, -7.14618374e-01
1974-06-01,  8.02057646e-01,  5.85637964e-01
1974-07-01, -2.28447178e-01,  6.77351141e-01
1974-08-01,  5.03867370e-01,  6.14921828e-01
1974-09-01, -5.70971082e-01,  4.73647755e-01
1974-10-01,  7.08036637e-01,  3.49823147e-01
1974-11-01,  4.16299275e-01, -1.57356076e-01
1974-12-01,  8.68159942e-01,  4.74909389e-01
1975-01-01,  5.34019893e-01, -2.88856994e-02
1975-02-01, -4.70306995e-01, -2.42754907e-01
1975-03-01,  3.98626817e-01, -3.64707631e-01
1975-04-01, -3.74118337e-01, -1.99469761e-01
1975-05-01, -2.69793486e-01,  6.93909180e-02
1975-06-01,  2.61849944e-01,  7.09500542e-02
1975-07-01,  7.09542335e-01,  7.08773513e-01
1975-08-01, -4.09568177e-01, -3.57275513e-01
1975-09-01,  1.35058684e-01, -6.60169068e-01
1975-10-01, -3.37200538e-01,  6.28790832e-01
1975-11-01, -2.68107523e-01,  5.51920984e-03
1975-12-01, -5.65596801e-01, -1.31678929e-01
1976-01-01, -2.44812190e-01, -6.95555971e-02
1976-02-01, -4.82311947e-02, -7.95144650e-02
1976-03-01, -2.15108688e-01, -4.78062420e-01
1976-04-01, -3.02276376e-01, -3.72115359e-01
1976-05-01, -9.34827875e-01,  1.20633451e-01
1976-06-01, -6.48674728e-01,  1.61335819e-01
1976-07-01, -1.04425562e+00, -3.42208513e-01
1976-08-01,  2.81349400e-03,  1.97781707e-01
1976-09-01,  1.18247150e-01, -6.58314115e-01
1976-10-01, -9.22623828e-01,  3.43713829e-02
1976-11-01,  3.74571467e-01,  6.51347935e-01
1976-12-01,  1.08476011e+00,  5.33827507e-01
1977-01-01, -5.39085668e-03,  7.34202782e-01
1977-02-01, -2.71817763e-02, -4.42934068e-01
1977-03-01,  3.11567598e-01, -7.44033195e-01
1977-04-01, -1.63792754e-01,  1.01062262e+00
1977-05-01, -6.29974712e-01,  5.73897841e-01
1977-06-01, -5.65224513e-01,  4.79635940e-01
1977-07-01, -3.22300489e-02, -1.39134455e-01
1977-08-01,  6.99201645e-01,  5.92374759e-01
1977-09-01, -1.64166746e+00,  9.22032047e-02
1977-10-01, -8.17261490e-01, -1.33828071e-01
1977-11-01, -7.37480581e-01,  4.01434204e-01
1977-12-01,  1.76509204e-01,  3.96936290e-01
1978-01-01, -3.07326361e-01, -9.92793470e-01
1978-02-01, -1.48844136e-01, -1.87871943e-01
1978-03-01, -2.45949218e-02, -2.24186485e-01
1978-04-01,  4.38415390e-01, -3.08087624e-01
1978-05-01,  9.40846222e-01, -6.59343568e-03
1978-06-01, -2.13588144e-01, -1.79181650e-01
1978-07-01,  7.82754038e-02,  4.94582132e-01
1978-08-01, -6.47076207e-01, -3.48633109e-01
1978-09-01,  2.96902109e-01, -2.27870376e-02
1978-10-01, -7.58156875e-01,  4.53088947e-01
1978-11-01, -3.19303763e-02, -3.33972742e-01
1978-12-01,  2.69475593e-01,  4.04022400e-01
1979-01-01, -6.21156898e-02, -9.80925710e-02
1979-02-01, -9.26630162e-02,  3.09177549e-02
1979-03-01,  4.41223794e-01, -4.42519163e-01
1979-04-01,  4.76120769e-01,  2.65671275e-01
1979-05-01, -1.20437832e-01, -8.11982843e-01
1979-06-01,  2.63864111e-01, -1.26983399e+00
1979-07-01, -3.72945610e-01, -5.44142932e-01
1979-08-01, -6.90211701e-01,  4.55254863e-01
1979-09-01, -6.24846368e-01,  1.36895966e-01
1979-10-01, -5.12279915e-01,  1.96532153e-01
1979-11-01,  1.13014149e-01, -1.59140807e-01
1979-12-01,  4.00461608e-01,  5.65503587e-01
1980-01-01,  3.54537964e-02,  3.45665476e-02
1980-02-01, -1.23122825e-02,  3.95441583e-01
1980-03-01, -1.12210824e-01,  7.99823621e-01
1980-04-01, -2.86782972e-01, -4.55445598e-01
1980-05-01,  2.03496186e-01,  6.82402228e-03
1980-06-01, -5.51352327e-01, -4.63025735e-01
1980-07-01,  3.50004543e-01,  1.97104430e-01
1980-08-01,  4.91029390e-01, -2.19780503e-01
1980-09-01, -2.36565696e-01,  6.01157031e-01
1980-10-01,  1.61897771e-01, -4.29081433e-01
1980-11-01, -7.36591620e-01,  6.55785360e-01
1980-12-01, -6.66620678e-02,  7.72122220e-02
1981-01-01, -4.53522211e-01, -6.89743844e-01
1981-02-01, -4.51739104e-01, -1.81520263e-01
1981-03-01,  1.13301677e+00, -3.52477584e-01
1981-04-01,  5.61421442e-01,  3.06519861e-01
1981-05-01, -3.52106121e-01,  4.39520579e-01
1981-06-01,  3.42108528e-01, -3.06812452e-01
1981-07-01,  9.26671092e-01,  9.29095528e-01
1981-08-01,  4.92245446e-02,  5.49797661e-01
1981-09-01, -6.77959568e-01, -8.42973490e-03
1981-10-01,  2.49997523e-01, -3.93675799e-01
1981-11-01, -4.33753865e-01,  2.26608195e-02
1981-12-01, -3.72617883e-01, -6.87928925e-01
1982-01-01, -2.81086486e-02,  1.53993772e-01
1982-02-01, -1.37654244e-01, -3.11602244e-01
1982-03-01, -9.54897329e-01, -9.64981723e-02
1982-04-01, -4.05490664e-01,  7.49533938e-02
1982-05-01,  1.94460671e-01,  7.31776755e-01
1982-06-01,  3.61957118e-01, -3.29246346e-01
1982-07-01, -2.25623797e-01, -4.62074484e-01
1982-08-01, -5.59272201e-01, -6.97775440e-01
1982-09-01, -2.67008963e-01, -6.61819316e-01
1982-10-01, -4.13426551e-01, -4.47601724e-02
1982-11-01, -2.40773958e-01, -3.21560642e-01
1982-12-01,  5.39854206e-01,  1.10810092e+00
1983-01-01, -2.33410926e-01,  9.54637886e-01
1983-02-01, -8.18845567e-01,  2.76571642e-02
1983-03-01, -5.46774080e-01, -4.86513728e-01
1983-04-01,  7.72470522e-01, -4.01501345e-01
1983-05-01,  6.59561868e-01,  3.12642408e-01
1983-06-01, -3.95058599e-01, -1.03137884e-01
1983-07-01, -5.89455382e-01, -1.17573247e-02
1983-08-01,  1.77277181e-01, -2.55287784e-01
1983-09-01,  2.10448548e-01,  6.90980820e-01
1983-10-01,  4.07828171e-02, -1.59665668e-01
1983-11-01, -2.61765996e-01,  2.74360613e-01
1983-12-01,  9.42545175e-02,  2.57137613e-01
1984-01-01,  3.03006062e-01,  5.09158114e-01
1984-02-01, -1.10068847e-01,  3.27467676e-01
1984-03-01,  1.21541823e+00, -3.90088854e-01
1984-04-01, -2.78488658e-01,  2.73495615e-01
1984-05-01, -4.03756479e-01, -6.45194614e-02
1984-06-01, -1.42638561e-01, -1.14418982e+00
1984-07-01,  1.16293091e-01, -4.51378007e-01
1984-08-01,  4.20280231e-01,  2.46466091e-01
