# mode: 0
# n_modes: 20
# low_latitude_boundary:   2.00000000e+01
# index_normalization:   1.53412085e+03
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# anomalies_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,ao_index
1970-08-01,  6.82414287e-02
1970-09-01,  2.83895685e-01
1970-10-01, -2.64127698e-01
1970-11-01,  6.57117861e-01
1970-12-01,  5.44227533e-02
1971-01-01,  8.36305887e-01
1971-02-01, -4.75948317e-01
1971-03-01, -1.30354969e+00
1971-04-01, -4.31168174e-01
1971-05-01,  3.48784967e-01
1971-06-01, -8.16935672e-01
1971-07-01, -4.68225581e-01
1971-08-01,  2.82494314e-01
1971-09-01,  2.01282636e-01
1971-10-01,  1.23206481e+00
1971-11-01,  2.77508226e-02
1971-12-01,  1.90746288e+00
1972-01-01,  1.92010775e+00
1972-02-01,  1.01235792e+00
1972-03-01,  4.58664254e-01
1972-04-01,  1.54397876e+00
1972-05-01,  4.32604471e-01
1972-06-01,  3.72077562e-01
1972-07-01, -1.39710694e-01
1972-08-01, -1.33607585e-01
1972-09-01, -3.97480043e-01
1972-10-01,  2.22955185e-01
1972-11-01, -2.59852195e-01
1972-12-01,  1.84568679e+00
1973-01-01,  1.39980677e+00
1973-02-01,  2.52680933e-01
1973-03-01,  6.57546897e-01
1973-04-01, -1.12747125e+00
1973-05-01, -3.01743803e-02
1973-06-01,  1.92511601e-01
1973-07-01,  2.10567530e-01
1973-08-01,  4.11920813e-02
1973-09-01,  3.03432449e-01
1973-10-01,  1.03010718e-01
1973-11-01, -2.78652043e-01
1973-12-01, -7.88170849e-01
1974-01-01,  1.52670092e+00
1974-02-01,  2.66796135e-01
1974-03-01,  1.92853048e-01
1974-04-01,  4.26900759e-01
1974-05-01, -9.05208403e-02
1974-06-01,  1.28188421e-01
1974-07-01, -2.33925471e-01
1974-08-01, -5.42274747e-01
1974-09-01,  2.92140499e-01
1974-10-01, -1.58473984e+00
1974-11-01,  4.25940645e-02
1974-12-01,  4.55544192e-01
1975-01-01,  2.26667236e+00
1975-02-01,  1.72945302e-01
1975-03-01,  3.38615312e-01
1975-04-01,  2.95860468e-01
1975-05-01, -2.45383255e-01
1975-06-01, -2.34317021e-01
1975-07-01,  1.41585165e-01
1975-08-01,  3.93821992e-02
1975-09-01,  8.53243132e-01
1975-10-01,  4.77790126e-01
1975-11-01,  1.05440044e+00
1975-12-01,  7.35175864e-01
1976-01-01, -1.92905255e-01
