# n_modes: 24
# season: DJF
# base_period_start_date: 19790101
# base_period_end_date: 20011201
# composites_input_file: jra.55.hgt.500.1958010100_2018123118.rolling_mean.window_length_10.anom.dayofyear.19790101_20011230.nc
# anomalies_input_file: jra.55.hgt.500.1958010100_2018123118.rolling_mean.window_length_10.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,nhtele_index_1,nhtele_index_2,nhtele_index_3,nhtele_index_4
1962-07-01,  2.10297615e+00, -1.29636719e+00,  4.67811160e-01, -1.68850689e+00
1962-08-01, -1.00781387e-01,  1.15249880e+00,  7.81128410e-01, -1.74831141e+00
1962-09-01,  6.11470555e-02,  1.41427125e-02,  4.14715557e-01, -6.97964009e-01
1962-10-01, -8.95782294e-02, -1.03188732e+00,  1.07369129e-01,  1.74205942e+00
1962-11-01, -3.44172968e-01, -3.72154297e-01,  6.28023712e-01,  3.59369963e-01
1962-12-01, -5.75847634e-02, -5.63675722e-01,  7.51969961e-01,  1.29003880e-01
1963-01-01,  1.65225547e+00, -1.28827409e+00, -5.63870424e-01,  7.62092021e-01
1963-02-01,  1.84401660e+00, -1.20559260e+00, -1.23850872e-01, -5.99422628e-02
1963-03-01,  3.28002086e-01,  4.42245761e-01, -2.13092674e+00,  1.38225233e+00
1963-04-01,  9.92724647e-01, -7.14471537e-02, -1.54111972e+00,  6.90860117e-01
1963-05-01, -2.02282519e+00,  2.45084254e+00, -3.10614852e-01,  2.18290310e-01
1963-06-01,  4.86598431e-01, -9.57959597e-01, -4.11665765e-01,  8.82169582e-01
1963-07-01,  5.91835524e-01,  2.37331886e-01, -7.42140811e-01, -3.08206450e-02
1963-08-01,  2.26584614e-01,  1.61722110e-02, -3.02977431e-01, -1.88910065e-02
1963-09-01, -2.31857302e+00,  1.02473142e+00,  5.32639289e-01,  5.35372889e-01
1963-10-01, -2.66847856e+00,  1.16758818e+00,  2.13264034e+00, -9.72730637e-01
1963-11-01,  1.41086166e+00, -3.73777875e-01, -1.91402348e-01, -9.45862897e-01
1963-12-01,  1.11984210e+00, -1.09005855e+00, -7.23779877e-01,  8.73954170e-01
1964-01-01,  3.17611241e-02, -9.32539149e-01, -2.09792554e-01,  2.09614231e+00
1964-02-01,  3.08199050e-01, -4.52574277e-01,  3.64937050e-01, -1.51501694e-01
1964-03-01,  2.95529999e-01,  1.20345306e-01, -2.79313097e+00,  3.01318145e+00
1964-04-01, -1.09360714e+00,  1.32204614e+00, -1.63119856e+00,  1.74533137e+00
1964-05-01, -1.21663865e+00,  2.62346772e+00, -1.14700181e+00, -4.02232777e-01
1964-06-01,  1.99636751e-01,  9.09931684e-01, -3.60274105e+00,  1.02751826e+00
1964-07-01, -1.90082588e+00,  1.20388063e+00,  5.31436832e-01,  2.52151528e-04
1964-08-01,  3.08777374e+00, -1.45585635e+00, -2.22226296e+00, -1.15713736e-04
1964-09-01,  5.21586922e-01,  6.99186955e-01, -7.27204542e-01, -9.16862156e-01
1964-10-01, -8.88723617e-01,  4.34201368e-02, -1.69228770e-01,  1.36712486e+00
1964-11-01,  4.18544799e-01, -3.61825974e-01, -4.25992085e-01,  6.54526704e-01
1964-12-01, -2.07353431e-02,  4.56551921e-02, -2.04602539e-01,  2.23842474e-01
1965-01-01,  3.11453619e-01, -1.84074612e-02, -1.71555138e-01, -2.18241802e-01
1965-02-01,  1.33365268e+00, -1.61416060e+00, -3.47086370e-01,  2.33275312e+00
1965-03-01,  2.17115651e+00, -8.89688806e-01, -1.31839179e+00, -2.40612477e-01
1965-04-01, -1.11404085e+00,  9.03481692e-01, -6.40920687e-01,  1.15530766e+00
1965-05-01,  6.51982456e-01,  3.92136431e-01, -9.84474057e-01, -4.61952071e-01
1965-06-01,  7.18646602e-01, -2.19751357e-02, -6.99273948e-01, -5.11946535e-01
1965-07-01,  3.12563313e-01,  2.91067741e-01,  3.37106066e-01, -1.39319503e+00
1965-08-01,  6.70937708e-01,  1.07730340e+00, -1.56297062e+00, -6.81220808e-01
1965-09-01,  1.73285678e-01,  1.17995324e+00, -1.84022755e+00,  2.74256633e-01
1965-10-01, -4.32644994e-01, -1.36188101e+00,  5.60823520e-01,  2.23058734e+00
1965-11-01,  1.58620363e+00, -5.99970496e-01, -8.10772288e-01,  6.53348917e-02
1965-12-01,  2.65093657e-01,  4.22936095e-01,  5.98197202e-01, -1.90233208e+00
1966-01-01,  1.22470762e+00, -9.21029668e-01,  9.18809143e-02, -2.13878886e-01
1966-02-01,  2.38283414e+00, -5.50559130e-01, -8.96645995e-01, -1.13573776e+00
1966-03-01,  5.12843839e-01, -6.03912487e-01,  5.59951504e-01, -4.28705287e-01
1966-04-01,  2.09912172e+00,  2.60906247e-01, -2.18641690e+00, -1.06897982e+00
1966-05-01, -1.27066676e+00,  2.59555862e+00, -1.31282865e+00, -4.49400578e-02
1966-06-01, -9.99047843e-01,  7.29531605e-01, -7.93793586e-01,  1.00256888e+00
1966-07-01, -3.12698029e-01, -1.12499600e+00,  1.12911627e+00,  4.17032562e-01
1966-08-01,  3.42316273e+00, -1.59630038e+00, -1.43690998e+00, -8.01056563e-01
1966-09-01,  7.43394636e-01, -8.67931726e-01,  1.17638457e+00, -1.14620765e+00
1966-10-01,  1.30515546e+00, -6.92750588e-01, -8.76788486e-01,  4.57766726e-01
1966-11-01, -7.96919484e-01, -1.17979667e-01,  4.37924595e-01,  7.42893455e-01
1966-12-01, -4.65391189e-01,  6.58093354e-03,  1.56720437e+00, -1.13425039e+00
1967-01-01,  3.54593550e-01, -8.19139703e-01,  5.16485614e-01,  3.55035778e-01
1967-02-01, -4.57763533e-01,  5.13737138e-01, -6.73100869e-01,  8.76265352e-01
1967-03-01, -1.09757479e+00,  1.95483806e+00, -1.06468694e+00, -6.22597105e-01
1967-04-01, -1.73416904e+00,  1.10867648e+00, -1.68214018e-01,  1.16231395e+00
1967-05-01,  3.68174194e-01,  1.61955941e+00, -2.48095010e+00,  1.38365511e-01
1967-06-01, -6.52622667e-01,  1.44437860e+00, -2.10551654e+00,  4.75507175e-01
1967-07-01, -6.74881823e-01,  1.51513576e+00, -7.45775132e-01, -2.13162621e-01
1967-08-01, -5.17416041e-01,  1.22186300e+00, -9.95651491e-01, -6.42315314e-03
1967-09-01, -4.89420747e-01, -6.10053464e-01,  4.51255406e-01,  1.12925730e+00
1967-10-01, -7.28176757e-01,  1.24975923e+00,  4.01086098e-01, -1.65322782e+00
1967-11-01, -1.13614576e+00,  5.00834710e-01,  4.40681366e-01,  4.49992869e-02
1967-12-01,  4.88270542e-01, -1.08007301e+00,  1.30991587e+00, -6.00359879e-01
1968-01-01,  6.97287167e-02, -2.73916018e-01,  7.95616597e-01, -6.72677135e-01
1968-02-01,  1.41416533e+00, -9.89856708e-01,  4.06795331e-01, -8.70401500e-01
1968-03-01, -1.75817133e-01, -6.21569565e-02,  7.69036426e-01, -6.31298382e-01
1968-04-01,  2.93523111e-01,  5.83903046e-01, -2.07434867e+00,  1.35527859e+00
1968-05-01,  1.76306781e+00, -1.94017333e-01, -2.00460316e+00, -2.02063790e-01
1968-06-01,  1.30882059e-01, -1.61638950e-01, -1.78767808e+00,  1.27827051e+00
1968-07-01,  9.81391365e-01, -9.51303668e-01, -1.91399521e-01,  3.82613078e-01
1968-08-01,  1.55573781e+00, -1.06601281e+00, -3.00935517e+00,  1.78954561e+00
1968-09-01,  2.33586788e+00, -1.87936854e+00,  2.61471155e-01, -1.24790456e-01
1968-10-01,  1.54094873e+00, -1.43044380e+00,  8.87570081e-01, -7.61331993e-01
1968-11-01,  1.81944709e+00, -1.14418256e+00, -1.22224367e+00,  1.27356669e+00
1968-12-01,  4.33407010e-01, -4.86769583e-01, -8.20463196e-01,  1.12311734e+00
1969-01-01,  2.02301045e+00, -1.27198394e+00, -7.36862370e-01,  4.18635210e-01
1969-02-01,  1.68493702e+00, -1.64905819e+00,  1.10392072e+00, -1.07366110e+00
1969-03-01,  1.55541765e+00, -1.49911891e+00, -3.42487538e-01,  7.80612032e-01
1969-04-01, -1.25152749e+00,  1.02919085e+00, -2.40974314e-01,  5.34433326e-01
1969-05-01,  5.48774901e-01,  3.28149039e-01, -1.52449240e+00,  5.26333430e-01
1969-06-01,  4.25466914e-01,  3.62207233e-01, -2.84378030e+00,  9.21706598e-01
1969-07-01, -1.99116137e+00,  1.69051278e+00,  9.66959074e-02,  4.59480061e-02
1969-08-01,  1.37386331e+00, -1.27822751e+00, -2.26664687e+00,  1.65592362e+00
1969-09-01, -4.33516910e-01,  3.83792776e-01, -1.10386734e+00,  1.46397064e+00
1969-10-01, -5.87198593e-01,  4.91384677e-02,  2.71213594e-01,  4.04398878e-01
1969-11-01,  4.26674921e-01,  5.28739115e-02,  1.35320177e+00, -2.42548637e+00
1969-12-01,  3.68183849e-01, -1.69015168e+00,  2.47173248e+00, -7.63200728e-01
1970-01-01,  2.09590981e+00, -1.06240844e+00, -8.14794026e-01, -2.69452888e-02
1970-02-01,  5.36846778e-01, -3.78560905e-02,  4.18558775e-01, -1.71073680e+00
1970-03-01,  1.32709918e+00, -1.31354424e+00,  6.86775517e-01, -5.68893343e-01
1970-04-01,  5.25889642e-01,  2.83934623e-01, -3.24220960e-01, -1.07738059e+00
1970-05-01, -7.99504076e-01,  9.86876982e-01, -7.57667588e-01,  8.40242638e-01
1970-06-01, -1.31312822e+00,  7.17825855e-01, -2.03873535e+00,  2.33004868e+00
1970-07-01, -7.28990112e-01,  5.25445836e-01,  5.45556354e-01, -6.65564729e-01
1970-08-01,  3.99888295e-01, -1.30495244e+00, -2.13538883e-01,  1.15569223e+00
1970-09-01,  4.71527321e-01,  7.22918236e-01, -2.00162182e+00,  9.05361731e-01
1970-10-01,  6.73086894e-01, -1.07967926e+00,  1.01736805e-01,  7.96210742e-01
