# mode: 0
# n_modes: 20
# low_latitude_boundary:  -2.00000000e+01
# index_normalization:   1.93331775e+03
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# anomalies_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,sam_index
1970-08-01,  3.35203223e-01
1970-09-01,  2.62296552e-02
1970-10-01, -7.74239680e-01
1970-11-01, -2.78019403e-01
1970-12-01, -1.63393437e+00
1971-01-01, -9.69810215e-01
1971-02-01,  3.57866221e-01
1971-03-01,  4.17679254e-01
1971-04-01, -6.57992912e-02
1971-05-01, -1.11330217e+00
1971-06-01, -1.02637985e-01
1971-07-01,  6.68863951e-01
1971-08-01, -1.69670322e-01
1971-09-01,  3.10433160e-01
1971-10-01, -1.65953463e+00
1971-11-01, -2.29667175e-01
1971-12-01, -1.61476990e+00
1972-01-01, -1.67813729e+00
1972-02-01, -7.00523517e-01
1972-03-01, -3.00000037e-01
1972-04-01, -7.88694781e-01
1972-05-01, -1.94220695e+00
1972-06-01, -1.96136289e+00
1972-07-01, -1.16030081e+00
1972-08-01, -1.29018533e+00
1972-09-01, -8.85798532e-02
1972-10-01, -9.15311395e-01
1972-11-01, -6.73523502e-01
1972-12-01, -1.08765857e+00
1973-01-01, -6.96385190e-01
1973-02-01,  7.26828636e-01
1973-03-01,  1.13851001e+00
1973-04-01, -5.26006995e-01
1973-05-01, -1.69758197e+00
1973-06-01,  6.24142510e-01
1973-07-01,  3.24227884e-02
1973-08-01,  6.95664366e-01
1973-09-01,  1.60983741e-01
1973-10-01,  1.84371869e-02
1973-11-01, -6.70396231e-02
1973-12-01,  1.19693618e+00
1974-01-01, -1.30619086e-01
1974-02-01,  1.86779395e+00
1974-03-01,  1.60781808e+00
1974-04-01,  3.39920717e-01
1974-05-01, -6.00284199e-01
1974-06-01, -7.39859968e-01
1974-07-01,  4.44636146e-01
1974-08-01, -9.99215367e-01
1974-09-01,  7.74698679e-01
1974-10-01, -9.11844458e-02
1974-11-01, -1.54792949e+00
1974-12-01, -8.31235819e-01
1975-01-01, -5.99989595e-01
1975-02-01,  1.56721138e-01
1975-03-01,  6.65900361e-01
1975-04-01,  9.03990649e-01
1975-05-01, -1.03100061e+00
1975-06-01, -4.98784892e-01
1975-07-01, -1.78466366e+00
1975-08-01,  4.11277138e-01
1975-09-01,  1.37788526e+00
1975-10-01,  1.19019440e+00
1975-11-01, -5.61105499e-01
1975-12-01, -4.62010385e-01
1976-01-01, -1.12873720e+00
1976-02-01,  7.73020886e-01
1976-03-01,  5.13778134e-01
1976-04-01,  1.67783662e+00
1976-05-01,  3.48415949e-01
1976-06-01, -4.99574363e-02
1976-07-01,  2.34655501e-02
1976-08-01,  1.58288231e-01
1976-09-01,  5.80454108e-02
1976-10-01,  5.62432132e-01
1976-11-01, -9.03371090e-01
1976-12-01, -3.11495173e+00
1977-01-01, -1.97693037e+00
1977-02-01,  2.02037563e-01
1977-03-01,  2.11793984e-01
1977-04-01, -8.19574383e-02
1977-05-01,  4.48427979e-01
1977-06-01, -3.27275590e-01
1977-07-01, -2.00186523e-01
1977-08-01, -9.09235309e-01
1977-09-01,  8.49414180e-01
1977-10-01,  5.95669905e-01
1977-11-01,  5.41921195e-01
1977-12-01,  8.73399587e-03
1978-01-01,  1.51763181e+00
1978-02-01,  6.36690643e-01
1978-03-01, -5.30416400e-02
1978-04-01,  7.47559771e-01
1978-05-01,  5.72074859e-02
1978-06-01,  6.20113849e-01
1978-07-01, -8.13862596e-01
1978-08-01,  1.52615010e+00
1978-09-01,  1.34057624e+00
1978-10-01,  5.49453272e-01
1978-11-01, -5.61864835e-01
1978-12-01,  3.19514944e-01
1979-01-01,  3.61862464e-01
1979-02-01,  4.71436175e-01
1979-03-01,  9.90467549e-01
1979-04-01,  8.46673305e-01
1979-05-01,  3.15964558e-01
1979-06-01,  1.61578096e+00
1979-07-01,  2.54900276e+00
1979-08-01,  8.23976277e-01
1979-09-01,  7.96416397e-01
1979-10-01, -1.97193412e-01
1979-11-01, -7.28328518e-01
1979-12-01, -1.28837563e+00
1980-01-01, -5.81372007e-01
1980-02-01, -6.66169585e-01
1980-03-01, -1.60540538e+00
1980-04-01, -1.76588934e+00
1980-05-01, -4.18979702e-01
1980-06-01,  1.27632500e+00
1980-07-01, -2.22036666e+00
1980-08-01, -3.84849448e-01
1980-09-01, -1.07308710e+00
1980-10-01,  8.44413146e-01
1980-11-01, -1.88181993e+00
1980-12-01, -2.70317385e-01
1981-01-01,  3.66672757e-01
1981-02-01,  2.68405227e-01
1981-03-01, -6.17667604e-01
1981-04-01, -8.98120647e-01
1981-05-01,  3.28932154e-02
1981-06-01,  1.03013429e+00
1981-07-01, -2.22499449e-01
1981-08-01, -1.60316651e+00
1981-09-01, -1.27642734e+00
1981-10-01, -9.87397047e-02
1981-11-01,  1.11749382e+00
1981-12-01,  1.02785279e+00
1982-01-01, -5.42045047e-01
1982-02-01,  5.61666972e-01
1982-03-01,  1.74373346e+00
1982-04-01,  1.77834233e+00
1982-05-01,  6.59708463e-02
1982-06-01,  7.18864354e-01
1982-07-01, -8.06706981e-01
1982-08-01,  3.49178212e-01
1982-09-01,  1.29916151e+00
1982-10-01, -1.02547039e+00
1982-11-01, -1.06083928e+00
1982-12-01, -1.90815394e+00
1983-01-01, -1.31184973e+00
1983-02-01, -1.18299870e+00
1983-03-01,  3.33286785e-02
1983-04-01,  2.38561662e-01
1983-05-01, -6.98563050e-01
1983-06-01, -1.82031449e-01
1983-07-01,  1.44474888e+00
1983-08-01,  7.86745561e-01
1983-09-01, -1.02152572e+00
1983-10-01,  1.07615791e+00
1983-11-01,  1.43011595e+00
1983-12-01,  3.20919591e-01
1984-01-01, -1.29767095e+00
1984-02-01, -3.13811462e-01
1984-03-01,  1.67008615e-01
1984-04-01, -1.86300378e-01
1984-05-01, -1.68597489e+00
1984-06-01,  7.51880137e-01
1984-07-01,  1.37143035e+00
1984-08-01, -2.73399814e-01
1984-09-01,  1.02701710e+00
1984-10-01, -1.63883516e-01
1984-11-01,  1.65059265e-01
1984-12-01, -1.23800331e+00
1985-01-01, -5.49192740e-01
1985-02-01,  4.30484727e-01
1985-03-01, -2.58732331e-01
1985-04-01,  5.19342743e-02
1985-05-01,  1.64516388e-01
1985-06-01, -4.92150265e-02
1985-07-01,  1.83705025e+00
1985-08-01,  6.11976900e-01
1985-09-01,  1.73141568e+00
1985-10-01,  2.02559236e-01
1985-11-01,  1.07038368e+00
1985-12-01,  1.24163610e+00
1986-01-01,  2.36655776e-01
1986-02-01, -1.32507245e+00
1986-03-01, -7.62400411e-01
