date,ao_index,iod_index,mei,nhtele_index_1,nhtele_index_2,nhtele_index_3,nhtele_index_4,pna_index,psa_index_1,psa_index_2,sam_index
1958-01-01,-1.8134609,-0.00413148849,1.18128956,0.744997457,-1.1978124,2.08559582,-1.70778687,2.15112905,-0.164401853,0.135598681,0.0887535345
1958-02-01,-2.42335806,-0.07752425,0.996313485,2.11240417,-1.27813754,0.378312658,-1.3747143,1.6853047,0.301341559,-0.589807188,-1.09418312
1958-03-01,-1.9053802,-0.807018631,0.795654261,2.5835099,-1.82663403,-0.225262222,-0.529568671,-0.260209533,0.407116005,-0.332067948,-0.964656494
1958-04-01,-0.00494692455,-0.0831282608,0.529136154,0.0671594658,-0.78846409,0.46745916,0.820808434,0.0684130172,-0.636968278,0.601537884,-1.58683717
1958-05-01,-0.217847995,-0.41187952,0.496645138,0.0832901588,1.38587633,-0.472043336,-1.62218523,0.278694433,0.158721232,0.647365141,-1.7446266
1958-06-01,-0.804705588,-0.906738638,0.565868086,1.27324092,-0.165949259,-1.68667976,-0.366599989,0.204198641,-0.225269858,-0.282657742,-0.355590275
1958-07-01,-0.529831833,-1.45182292,0.1752045,2.28225166,0.326349905,-2.11808199,-0.405168588,0.213475634,0.059250582,0.660844571,-2.01710771
1958-08-01,-0.616118245,-0.90474953,0.035177127,2.19160101,-0.357961449,-1.79572261,-0.565335532,0.374341295,-0.188428531,-0.159062822,0.147883043
1958-09-01,0.55460152,-1.41357344,-0.167112414,-0.149000996,-0.778484981,-1.02843996,3.05337921,-0.147089344,-0.411586459,-0.0849578793,1.09709259
1958-10-01,0.817305909,-1.8399798,0.112192191,-0.721959813,0.429606204,-0.852038495,1.29239858,-0.284884978,0.915132218,0.941416353,-0.569393553
1958-11-01,0.741144973,-1.63494077,0.238771985,-1.28583282,-0.0780928793,-0.0652002477,1.95014361,-0.39147507,-0.0827680601,0.000300913422,0.520545593
1958-12-01,-1.24361419,-0.9645736,0.440258607,0.976400877,-0.262933817,-0.654642391,-0.388242422,0.684695908,-0.423767549,-0.550348114,0.767672852
1959-01-01,-1.68603447,0.176706955,0.417765346,1.86319294,-0.903174339,0.0135521968,-1.13819422,-1.04254751,0.114364652,-0.868194567,0.360900189
1959-02-01,2.9709077,0.0208099578,0.466831856,-1.35589225,0.702260609,-0.95066222,2.57014744,-2.3787069,-0.299855387,-0.213505186,-0.0211037421
1959-03-01,1.65779264,-0.906130002,0.273166368,-0.715198153,1.04526606,-1.94853716,1.75322047,-0.594454216,0.682107826,0.122501022,-0.0541374129
1959-04-01,0.561777662,-0.776093635,-0.103250699,-0.00321924861,1.21530109,-1.35277675,-0.464235936,-1.0746816,-0.132274559,-0.406930805,-0.347256132
1959-05-01,-0.0552968547,-0.920880068,-0.109513882,-0.174034763,0.0311440427,-0.756981662,1.23804503,-0.53156859,-0.53570475,0.907020842,-0.581790729
1959-06-01,-0.108594542,-1.09920071,0.0150665732,-0.403007411,0.400930038,0.0229318913,0.0170358413,0.140827821,-0.563640275,0.415855874,-0.592804563
1959-07-01,0.390904264,-2.19917845,-0.125629931,-1.33208757,1.03903287,0.355072883,-0.259602275,-0.314622879,0.0876413628,-0.2710239,-1.47601582
1959-08-01,-0.425203459,-1.97055423,-0.0045865675,0.288016324,0.199180356,-1.70563842,0.784991921,-0.532481959,-0.0340768765,-0.478820768,-1.44250602
1959-09-01,-0.0723995881,-1.28713197,0.105734526,-0.215874285,-0.87487555,0.698146895,0.847815992,-0.0453207594,-0.332816541,-0.270429819,1.40048533
