date,ao_index,iod_index,mei,nhtele_index_1,nhtele_index_2,nhtele_index_3,nhtele_index_4,pna_index,psa_index_1,psa_index_2,sam_index
1948-01-01,0.385977152,-1.97789974,0.0255840297,0.441826738,0.60428701,-0.476094792,-1.27036946,-0.446254598,0.145968505,0.48521401,-1.45406389
1948-02-01,1.40560963,-1.06388901,-0.0610595764,0.045470402,0.529822794,-1.41760151,1.28887268,-2.50024139,0.0991878694,0.717476436,-2.08091422
1948-03-01,3.07539694,-0.94950401,0.0413558067,-1.21365136,0.729850716,-1.73904238,2.90391507,-3.10248301,-0.159009446,0.137794534,-2.09041603
1948-04-01,2.51272073,-1.20991871,0.0896018884,-1.80252381,1.91457426,-2.3937998,2.86775252,-2.85165329,-0.648125557,0.546883025,-0.931781948
1948-05-01,-0.319279759,-1.01694317,0.0186256233,0.521890864,-0.76027808,0.489005139,-0.282727827,0.117235531,-1.09386938,-0.0939140244,0.0334776854
1948-06-01,-0.457782659,-0.42069066,0.378883017,1.42471531,0.149840676,-2.36601108,-0.748889396,0.370177213,0.140368425,1.11219712,-0.538166533
1948-07-01,-0.227761372,-0.978644544,0.461417078,1.9749288,-1.72782167,0.190249775,-0.408527625,0.163409012,-0.592076226,0.908057606,-1.94335772
1948-08-01,0.112138311,-1.09855948,0.392788722,1.74002949,0.732842302,-3.06746671,-0.425598593,-0.36413342,1.01389233,0.103423456,-2.83231721
1948-09-01,0.439217099,-2.1041339,0.257501418,-0.330643269,0.254211752,0.333858961,-0.511351363,-0.212516619,0.333238129,0.644677271,-0.880300829
1948-10-01,-0.0900773528,-1.60895665,-0.450165186,0.0865123914,-0.0759960788,1.36173155,-1.66380245,0.742883723,-0.319535467,0.702736266,-2.54683188
1948-11-01,0.560160753,-1.49315194,-0.600843909,0.00413461402,0.080463593,-0.203361482,0.0862948899,-0.131819306,-0.156034593,0.805992905,-2.74532363
1948-12-01,2.15251117,-1.42160864,-0.343653769,-0.168105298,0.028645742,-1.79925527,2.35970083,-1.92572047,0.0458942952,1.03402813,-2.02921984
1949-01-01,2.0876748,-1.42525053,-0.220587475,-1.22582695,0.792397386,0.571597953,-0.424661889,-1.63848949,0.819715014,0.989152917,-3.70148218
1949-02-01,2.1941248,-0.756580925,-0.182822251,-0.928873419,1.10526197,-1.47305421,1.69380561,-2.51420961,0.464784766,1.19730296,-4.16921348
1949-03-01,-1.00686239,-1.21851264,-0.485331461,-0.00152645441,-0.562648594,0.586622233,0.427327236,0.325122417,0.016846251,0.114536573,-1.65132341
1949-04-01,1.96687955,-1.142158,-0.537674041,-1.69694034,1.32930654,0.31864563,-0.109210901,0.0699145275,-0.71623123,0.610714095,-0.290471269
1949-05-01,0.267981933,-1.82040939,-0.240566655,-0.956855552,1.2542058,0.105317321,-0.382221035,-0.388180479,0.350206637,-0.994311327,0.551499092
1949-06-01,0.355811994,-1.44841227,0.058028581,0.512552228,-0.00421270062,-1.68973202,0.344801822,-0.780392294,-0.400502655,0.238790827,0.336394757
1949-07-01,0.134681524,-0.4378866,0.0721189538,0.309803555,-1.07038197,-0.119323545,1.353213,-0.429161194,-0.957354862,0.0563656143,-1.22382532
1949-08-01,0.0097520286,-0.561732562,0.187315487,0.257436894,0.0855679473,0.966832402,-1.10861344,0.0783545968,-0.632518423,0.0847026402,-0.302306953
1949-09-01,-0.488968106,-0.558820567,-0.25216116,0.20722779,-1.00294053,-0.423441148,2.30762538,0.664679734,-0.942955949,-0.0967448449,-0.706732118
1949-10-01,0.524915714,-0.951450878,-0.983525078,-0.724533107,0.860918274,-0.872610887,0.561027639,-0.388448743,0.197723408,0.0430108249,-0.897922957
1949-11-01,-1.36494398,-1.46544736,-1.14234247,0.471426455,0.170531436,-0.832618382,0.154131519,1.548849,0.447868296,0.612209837,-1.03440346
1949-12-01,-0.103318455,-2.05159377,-0.881883217,-0.113939619,0.613291183,-0.265292563,-0.509172839,-1.17321778,0.321392753,0.663681634,-2.98904621
1950-01-01,2.14389376,-1.35281875,-0.913932856,-0.205128129,0.551221606,-2.34098914,2.36582631,-4.9418272,0.391844629,1.07739989,-3.14882983
1950-02-01,1.07950008,-1.97429754,-1.05138294,0.0922204486,0.872049701,-1.11908452,-0.249397161,-1.01663628,-0.394454902,0.379322067,-1.77269132
1950-03-01,-0.576469576,-1.71204423,-1.23542593,0.80713921,-0.311845699,-0.745441713,0.159041186,0.577610722,0.287850456,0.339935114,-2.51346127
1950-04-01,0.546562431,-2.19757861,-1.29884584,-1.04245842,1.04540854,0.525651043,-1.00097685,-0.674766358,-0.950780506,0.247959852,-1.91541356
1950-05-01,0.118748336,-1.91047358,-1.2620288,0.394167309,-0.525576126,-0.440619878,0.646875436,-0.112232421,0.290238491,-0.527518822,-0.713321697
1950-06-01,0.606899507,-2.06400801,-0.648365812,-0.755858774,1.22252595,-0.0400128486,-0.508108481,-0.63231917,-0.500349896,-0.376484121,-1.04999907
1950-07-01,-0.184568772,-1.25505646,-0.459042561,1.64492905,1.36992874,-2.21216025,-1.07065077,0.057245519,-0.606559296,-0.283270281,-2.90362006
1950-08-01,-0.609374105,-0.733872837,-0.39676358,1.07603884,0.794657201,-2.51129643,-0.151037608,0.590014606,-0.364333844,-0.283376816,-1.75721113
1950-09-01,0.349809061,-1.43165548,-0.617363514,-1.1162606,1.64338816,0.322455521,-2.05262321,0.721598752,-0.0525706724,0.23505028,-0.345259551
1950-10-01,-0.0777465152,-1.47568896,-0.963032972,-1.26303448,0.69832378,0.503214488,-0.00464720211,0.558456462,0.551298722,0.0023071378,-0.780129495
1950-11-01,-0.0174763329,-2.47913253,-1.0220601,0.577341811,-0.0320543301,-0.921933041,0.473927334,-1.17937273,0.59674594,0.563824076,-1.46214684
1950-12-01,-1.73954035,-2.85497544,-1.02985785,0.811086729,-1.07669999,1.23861385,-0.980619948,0.522504985,0.322685487,-0.0839848485,-1.08491719
1951-01-01,1.18072236,-2.5613397,-0.986755054,-0.262020166,-0.0318698518,0.615817551,-0.352095603,-0.97497969,-0.259066904,-0.345845598,-1.380337
1951-02-01,1.0864246,-2.18235799,-0.884471199,-0.565848109,0.685600438,-0.652201233,0.5480622,-1.58963238,-0.41421876,0.418791066,-1.43498257
1951-03-01,-1.70334718,-2.12115804,-0.910456986,1.86452187,-0.974564591,-0.209162801,-1.0666097,-1.19874477,-0.0532806136,0.495694856,-0.716432439
1951-04-01,-0.697559744,-2.95583236,-0.701098602,0.927678529,0.267420813,0.058552132,-2.39246272,0.420493035,0.213012597,1.48127761,-1.98853338
1951-05-01,-1.1254586,-2.43098932,-0.329708057,1.10070722,-1.60966031,-0.0444193531,0.60561166,0.95277155,-1.17446748,0.941095994,-2.11254759
1951-06-01,-0.820269492,-1.32829363,0.681501865,2.33450814,-1.28099013,-2.48712079,-0.0858267175,0.0564999571,-0.400307112,1.30669316,-1.36759003
1951-07-01,0.21266944,-1.24225523,0.835601292,-0.00648537184,0.999776138,-1.01508178,-0.00906930743,-0.359850886,0.335423581,0.734179871,-1.26169321
1951-08-01,-0.301227792,-0.838170565,0.483515388,0.370332794,0.125655517,-1.52979879,0.609409913,0.220416763,-0.775307269,1.3833481,-1.1600503
1951-09-01,-1.03603364,-0.303298284,0.369949477,1.32426386,0.255666121,-1.01529851,-0.989449607,0.376955749,-0.535981434,-0.1724432,-2.16593825
1951-10-01,0.303046646,-0.0208020682,0.228751891,-1.23330234,0.161571644,-0.691073098,2.35326358,0.0935549757,0.0975456079,0.275349051,-2.16974652
1951-11-01,0.261327154,-0.225110829,0.244706255,0.383119721,0.0525682134,-0.791804097,0.400315621,0.0825685812,-0.296338748,0.812770115,-1.77670602
1951-12-01,2.27756565,-0.661762786,0.138853655,-0.992207954,1.57729009,-0.69499462,-0.181874261,-2.57403373,0.226268419,0.784480004,-2.93556231
1952-01-01,0.63845494,-0.582578675,-0.0760881548,-0.449432739,0.576478779,0.165016042,-0.646377085,-2.27902167,0.027323451,0.908024527,-3.22265291
1952-02-01,-1.73065768,0.0224555607,-0.00450280835,0.740381412,-1.00287647,1.15379916,-1.0008724,0.143086101,0.264726969,0.762141645,-1.35220658
1952-03-01,-0.533193508,0.0500636011,-0.220420094,1.27898377,-1.04628438,-0.550001584,0.560481224,-1.31247899,-0.930031682,0.676778649,-1.84645848
1952-04-01,0.732203493,-0.537593372,-0.284222921,-0.0862722632,0.445293017,-0.614877718,0.109219729,0.419792012,-0.518761507,0.483652139,-2.25603299
1952-05-01,-0.899100494,-1.53689609,-0.340635778,1.58213941,-1.81593684,-0.288997191,0.391658408,-0.101874385,-0.490563017,1.26696843,-2.0377591
1952-06-01,-0.383350348,-1.44400314,-0.188333717,0.672790128,-0.133328104,0.616106222,-1.13306029,-0.233056071,-1.0069944,0.230818368,-1.56458274
1952-07-01,0.164465384,-2.10991473,-0.289381682,-1.22869657,0.599411879,0.397845525,0.187199596,-0.529818004,-0.27045163,0.0556591651,-1.10377462
1952-08-01,-0.317696372,-1.82448904,-0.0054885602,1.14352998,-0.532493293,-0.30471308,-0.453690188,-0.34941907,0.00669393799,0.362694737,-0.97046126
1952-09-01,-1.09624015,-1.99508031,0.182237389,1.31977648,-0.760465214,0.354901972,-0.986246516,0.0132754509,-0.515011863,0.906922408,-0.861999777
1952-10-01,-0.30270852,-1.92821844,-0.104589957,0.749806979,0.231799791,-0.994620016,-0.27665554,0.200028548,-0.10924809,0.0379757817,-1.27100344
1952-11-01,-1.97607217,-1.80948382,-0.343833342,1.2013619,-1.45908155,0.529440446,0.370563651,1.16851929,0.500887119,1.289096,-2.00399665
1952-12-01,-2.14312958,-1.41204388,-0.307680295,1.02031278,-1.59215311,1.3811593,-0.653246646,2.00370148,-0.197355783,0.0780750326,-2.88747776
1953-01-01,-0.750730999,-1.05409332,-0.347049409,0.121934811,-1.16827546,1.11497598,0.6347966,0.4504425,-0.165261172,0.575461412,-2.75108325
1953-02-01,-0.537634928,-0.334693139,-0.0219813236,0.22148509,-0.765232468,1.02229917,-0.408818667,0.246734951,-1.10908223,0.803680891,-2.3206777
1953-03-01,1.68564313,0.188301013,-0.197673961,-0.918062678,-0.318097429,-0.0383199043,2.34923056,-1.39291384,-0.45121425,0.0788862394,-1.70569978
1953-04-01,-1.8340758,-0.426500877,-0.35539166,1.40366462,-0.813977203,0.865366593,-2.1790351,1.16327839,-0.358431127,0.681376029,-2.85985051
1953-05-01,-1.01165301,-0.435353646,-0.116688082,1.24293779,-0.473842522,-1.23629688,0.0361247669,0.730278496,-0.425698926,1.06733508,-1.71421327
1953-06-01,0.0922850133,-0.296520725,0.201456388,-0.560198109,0.0591401787,-1.81770183,1.85810901,-0.639778186,-0.429955167,1.44121848,-0.675667434
1953-07-01,0.0584512669,-0.602673517,0.359034986,0.656708695,0.73023829,-1.36791894,-0.0355159182,-0.00953967012,-0.581737628,1.39276662,-2.35229597
1953-08-01,-0.202779446,-0.722040035,0.506933565,0.614960188,0.405242783,-0.877100352,-0.450071763,0.132567428,-0.668941695,0.609202444,-0.35554195
1953-09-01,0.475297268,-0.890673131,0.489533688,0.135897895,-0.130701076,0.0547374966,-0.0354987001,-0.337884846,-0.338365058,-0.159282856,-0.392854063
1953-10-01,0.152779057,-1.16036493,-0.299552341,-1.21248357,0.261890595,-0.262585191,1.62780749,1.22915776,-0.25139695,0.712955022,-2.17259995
1953-11-01,0.128916692,-0.963282435,-0.407282969,-1.43332482,0.621720137,0.198573897,0.551793445,1.40793928,-0.300950911,0.644571407,-1.378013
1953-12-01,1.20715278,-0.545307693,-0.2041119,-1.03155564,0.606616103,-0.808298606,1.67363588,-0.0684224702,0.661227962,1.02743591,-2.55253291
1954-01-01,0.560920936,-0.9142649,-0.366769146,-0.506578595,-0.172597778,0.200369398,0.893713836,-1.99547701,-0.257572318,-0.440034331,-1.52181282
